Time,Avg Voltage,Avg PF,Avg Current,Total Active power,Total Reactive power,Total Apparent power,THD Voltage L1,THD Voltage L2,THD Voltage L3,THD Current L1,THD Current L2,THD Current L3,Import MWh,Import MVAh
23:49,12748.3,0.98,6.43,239400,43200,247500,0,1.78,0.87,0,0,0,112.73,114.92
23:34,12602.25,0,0,0,0,0,0,2.76,1.58,0,0,0,112.71,114.9
23:19,12576.1,0,0,0,0,0,0,2.11,1.67,0,0,0,112.69,114.89
23:04,12636.5,0,0,0,0,0,0,1.92,1.94,0,0,0,112.69,114.89
22:49,12527.35,0,0,0,0,0,0,1.27,1.39,0,0,0,112.69,114.89
22:34,12577.35,0,0,0,0,0,0,1.78,1.61,0,0,0,112.69,114.89
22:19,12528.6,0,0,0,0,0,0,1.25,2.05,0,0,0,112.69,114.89
22:04,12331.2,0,0,0,0,0,0,2.14,1.23,0,0,0,112.69,114.89
21:49,12509.5,0,0,0,0,0,0,2.91,2.25,0,0,0,112.69,114.89
21:34,12531.35,0,0,0,0,0,0,2.46,1.84,0,0,0,112.69,114.89
21:19,12677.45,0,0,0,0,0,0,2.22,1.34,0,0,0,112.69,114.89
21:04,12631.2,0,0,0,0,0,0,2.12,1.92,0,0,0,112.69,114.89
20:34,12567.85,0,0,0,0,0,0,2.36,1.3,0,0,0,112.69,114.89
20:19,12598.2,0,0,0,0,0,0,2.05,1.59,0,0,0,112.69,114.89
20:04,12478.9,0,0,0,0,0,0,2.1,1.93,0,0,0,112.69,114.89
19:49,12400.2,0,0,0,0,0,0,1.85,1.86,0,0,0,112.69,114.89
19:19,12482.2,0,0,0,0,0,0,1.48,1.61,0,0,0,112.69,114.89
19:04,13058.05,0,0,0,0,0,0,1.14,1.48,0,0,0,112.69,114.89
18:49,12720.4,0,0,0,0,0,0,1.43,1.66,0,0,0,112.69,114.89
18:19,12717.3,0,0,0,0,0,0,0.96,1.65,0,0,0,112.69,114.89
18:04,12855.1,0,0,0,0,0,0,1.87,1.24,0,0,0,112.69,114.89
17:49,12630.35,0,0,0,0,0,0,0.77,1.77,0,0,0,112.69,114.89
17:34,12579.65,0,0,0,0,0,0,1.51,2.05,0,0,0,112.69,114.89
17:19,12693.55,0,0,0,0,0,0,1.82,1.23,0,0,0,112.69,114.89
17:04,12586.7,0,0,0,0,0,0,0.94,1.82,0,0,0,112.69,114.89
16:49,12585.25,0,0,0,0,0,0,0.98,1.74,0,0,0,112.69,114.89
16:34,12699.4,0,0,0,0,0,0,2.01,1.67,0,0,0,112.69,114.89
16:19,12663.6,0,0,0,0,0,0,0.22,1.78,0,0,0,112.69,114.89
16:04,12734.55,0,0,0,0,0,0,0.33,1.72,0,0,0,112.69,114.89
15:49,12539.95,0,0,0,0,0,0,1.34,1.54,0,0,0,112.69,114.89
15:34,12547.4,0,0,0,0,0,0,1.12,1.67,0,0,0,112.69,114.89
15:19,12467.85,0,0,0,0,0,0,1.28,1.39,0,0,0,112.69,114.89
15:04,12365.45,0,0,0,0,0,0,1.71,1.35,0,0,0,112.69,114.89
