Date,DateTime,kW (Total),kVA (Total),kVAR (Total),PF (Total),Current (Avg),Current ®,Current (Y),Current (B),Voltage L-L,Cumulative kWh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 00:26,291.26,301.52,2.43,1.07,433.03,437.52,331.55,493.37,424.57,992582.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 00:41,233.24,242.35,26.88,1.04,297.48,278.97,214.7,359.38,423.81,992652.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 00:56,341.69,357.7,20.85,1.01,455.1,459.72,410.22,490.3,423.45,992724.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 01:11,359.42,408.94,40.14,1.03,497.04,485.43,403.87,599.56,420.16,992802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 01:26,320.13,319.73,97.1,1.02,448.79,443.95,346.59,485.95,416.63,992878.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 01:41,304.13,308.4,-14.22,1.02,423.76,405.13,410.75,458.26,421.61,992950.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 01:56,303.23,285.82,-3.61,1.04,481.27,480.22,392.82,566.04,420.1,993027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 02:11,128.52,134.51,-3.87,1.03,190.82,202.87,142.15,230.08,424.09,993074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 02:26,92.61,101.19,-1.87,1.03,134.03,155.99,97.17,171.7,423.64,993101.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 02:41,192.38,219.76,-22.16,1.11,280.36,321.53,207.14,331.86,425.55,993122.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 02:56,161,200.1,-13.78,1.03,216.21,220.35,214.33,226.43,422.76,993160.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 03:11,191.27,226.95,-12.23,1.06,391.18,443.84,279.39,505.9,418.75,993208.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 03:26,48.06,83.02,-8.98,1.18,117.67,128.84,70.74,142.52,415.85,993256.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 03:41,97.86,107.09,-0.9,1.11,149.73,157.41,81.77,218.56,417.08,993298.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 03:56,103.79,138.23,4.39,0.91,211.58,260.51,200.7,219.91,410.68,993339.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 04:11,124.29,136.31,-0.44,1.09,191.63,218.09,102.09,257.91,405.05,993370.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-05-2023,11-05-2023 04:26,211.51,303.18,-6.19,1.03,313.53,314.48,222.14,396.99,406.23,993403.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
